ADF-SOI | ADF-SOI | class com.cloudbees.hudson.plugins.folder.Folder
ADP | ADP | class com.cloudbees.hudson.plugins.folder.Folder
ADP/ADP-ELM-KPEG | ELM-KPEG | class com.cloudbees.hudson.plugins.folder.Folder
ADP/ELM-ADMIN | ELM-ADMIN | class com.cloudbees.hudson.plugins.folder.Folder
ADP/ELM-KPMC | ELM-KPMC | class com.cloudbees.hudson.plugins.folder.Folder
ADP/ELM | ELM | class com.cloudbees.hudson.plugins.folder.Folder
ADP/POC | POC | class com.cloudbees.hudson.plugins.folder.Folder
AIS | AIS | class com.cloudbees.hudson.plugins.folder.Folder
AIS/AISDA | AISDA | class com.cloudbees.hudson.plugins.folder.Folder
AIS/MARSDB | MARSDB | class com.cloudbees.hudson.plugins.folder.Folder
AKS-Releases | AKS-Releases | class com.cloudbees.hudson.plugins.folder.Folder
AKS-Releases/baseimages | baseimages | class com.cloudbees.hudson.plugins.folder.Folder
AKS-Releases/baseimages/Twistlock Validation | Twistlock Validation | class com.cloudbees.hudson.plugins.folder.Folder
AKS-Releases/helm | helm | class com.cloudbees.hudson.plugins.folder.Folder
AKS-SelfService | AKS-SelfService | class com.cloudbees.hudson.plugins.folder.Folder
AKS-SelfService/AKS-Adhoc-Jobs | AKS-Adhoc-Jobs | class com.cloudbees.hudson.plugins.folder.Folder
AKS-SelfService/AKS-Adhoc-Jobs/AKS-Resource-Management | AKS-Resource-Management | class com.cloudbees.hudson.plugins.folder.Folder
AKS-SelfService/AKS-Adhoc-Jobs/Azure-Service-Management | Azure-Service-Management | class com.cloudbees.hudson.plugins.folder.Folder
AKS-SelfService/docker-image-scans | docker-image-scans | class com.cloudbees.hudson.plugins.folder.Folder
AKS-SelfService/Prisma | Prisma | class com.cloudbees.hudson.plugins.folder.Folder
ASG-RAS | ASG-RAS | class com.cloudbees.hudson.plugins.folder.Folder
ASG-RAS/APF | APF | class com.cloudbees.hudson.plugins.folder.Folder
ASG-RAS/CustomMonitoring | CustomMonitoring | class com.cloudbees.hudson.plugins.folder.Folder
ASG-RAS/SupportPlus | SupportPlus | class com.cloudbees.hudson.plugins.folder.Folder
BCP | BCP | class com.cloudbees.hudson.plugins.folder.Folder
BCP/chatbot | chatbot | class com.cloudbees.hudson.plugins.folder.Folder
BCP/chatbot/KP-digital-chatbots | KP-digital-chatbots | class com.cloudbees.hudson.plugins.folder.Folder
Bluemix-training | Bluemix-training | class com.cloudbees.hudson.plugins.folder.Folder
BWG-SelfService | BWG-SelfService | class com.cloudbees.hudson.plugins.folder.Folder
BWG-SelfService/Encounters | Encounters | class com.cloudbees.hudson.plugins.folder.Folder
BWG-SelfService/Encounters/DB_Scripts | DB_Scripts | class com.cloudbees.hudson.plugins.folder.Folder
BWG-SelfService/MMT | MMT | class com.cloudbees.hudson.plugins.folder.Folder
CAS-CDC | CAS-CDC | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas | CAS-Paas | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/admin-utilities | admin-utilities | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/admin-utilities/aks_utilities | aks_utilities | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/admin-utilities/azure_ml | azure_ml | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/AKS | AKS | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI | Azure-CLI | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning | Automated Project Provisioning | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Development/Assisted | Assisted | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Development/Automated | Automated | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Feature Branches | Feature Branches | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Feature Branches/AutomatedPipeline | AutomatedPipeline | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Master | Master | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Master/Assisted | Assisted | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Master/Automated | Automated | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/Automated-Project-Provisioning/Miscellaneous Jobs | Miscellaneous Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/azureAutomation | azureAutomation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/DNSAutomation | DNSAutomation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/DNSAutomation/WIP | WIP | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary | JenkinSharedLibrary | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Azure Chat Bot | Azure Chat Bot | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Data Factory Deployments Finalized | Data Factory Deployments Finalized | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground | Playground | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/aksbk | aksbk | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Alex | Alex | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Automation Project Provisioning and Manual Onboarding Process | Automation Project Provisioning & After Provisioning Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Automation Project Provisioning and Manual Onboarding Process/Manual Process | Manual Process | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Automation Project Provisioning and Manual Onboarding Process/Project Provisioning | Project Provisioning | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/david | david | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/david/automation | Automation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/david/Databricks API | Databricks API | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/david/Manual_Process_Jobs | Manual_Process_Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/dbrck | dbrck | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/dima | dima | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/EventHub | EventHub | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/jay | jay | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/jay/dev | dev | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/jazmn | jazmn | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Jenkins_Shared_Library_Tests | Jenkins_Shared_Library_Tests | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Jenkins_Shared_Library_Tests/P278871 | P278871 | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Jenkins_Shared_Library_Tests/P278871/RGAutomation | RGAutomation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/jonathan | jonathan | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/josh | josh | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/josh/Provision Automation | Provision Automation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/josh/resource-deployments | resource-deployments | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/josh/resource-deployments/dev | dev | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/kpdgav_deployments | kpdgav_deployments | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Leela | Leela | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Leela/Provision Automation | Provision Automation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Leela/resource-deployments | resource-deployments | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/Leela/resource-deployments/dev | dev | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/madhuri | madhuri | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/maytinee | maytinee | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/nagesh | nagesh | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/omran | omran | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/raj-shared-libraries-testing | raj-shared-libraries-testing | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/sekg | sekhar | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/shared_library_training | shared_library_training | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/shireesha | shireesha | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/JenkinSharedLibrary/Playground/srma | srma | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation | VMAutomation | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationDevelopment | VMAutomationDevelopment | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationDevelopment/Current VM Job To Use | Current VM Job To Use | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationDevelopment/LinuxVmAutomation_OneClick | LinuxVmAutomation_OneClick | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationDevelopmentGPU | VMAutomationDevelopmentGPU | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationProduction | VMAutomationProduction | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationProduction/Linux Current VM Job To Use | Linux Current VM Job To Use | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationProduction/Windows Current VM Job To Use | Windows Current VM Job To Use | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-CLI/VMAutomation/VMAutomationProduction/WIP - Linux One Click Job | WIP - Linux One Click Job | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE | Azure-COE | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/adf-sharedlibrary | adf-sharedlibrary | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/az_services_deploy_v1 | az_services_deploy_v1 | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/azcoe-aks-samples | azcoe-aks-samples | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/AzureDash | AzureDash | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/chandrapipelines | ChandraPipelines | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/chandrapipelines/chatbotdeploy | chatbotdeploy | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/chandrapipelines/hdinsights | hdinsights | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/Janitor_Jobs | Janitor_Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CAS-Paas/Azure-COE/l786913_shared_development | l786913_shared_development | class com.cloudbees.hudson.plugins.folder.Folder
